"SDOH_VAR","pe","ee1","ee2"
"AC_LAND",7.71199650704767,4.28963810906654,6.37070445183709
"AC_TOTAL",7.71199650704767,4.28963810906654,6.37070445183709
"AC_UNPR",7.71199650704767,4.28963810906654,6.37070445183709
"AC_WATER",7.14677217945264,3.39209926266887,4.9397636610386
"ADI_NATRANK",4.62497281328427,4.24398780074129,4.24799133125828
"ADI_STATERANK",2.63905732961526,2.35675465706042,2.35841899353846
"AUTOOWN0",5.23110861685459,2.94480404866812,4.22556804811986
"AUTOOWN1",6.10031895202006,3.64241869092146,5.33830572851761
"AUTOOWN2P",6.50727771238501,3.83685109604331,5.64845300678149
"BIRD_INDEX",5.77455154554441,3.43950400323845,4.69211399251924
"CBSA_EMP",5.53338948872752,1.71798545105753,2.27153290651608
"CBSA_NAME",5.52942908751142,1.43651288737905,2.25052257827859
"CBSA_WRK",5.53338948872752,1.71798545105753,2.27153290651608
"COUNTHU",6.76503897678054,3.96701603764693,5.85607646430621
"CRANE_1",6.99209642741589,3.79200606472368,5.21329298021492
"CRANE_10",5.9427993751267,1.8012487939074,2.27044981077951
"CRANE_11",4.85981240436167,0.93321732239815,0.987755792327341
"CRANE_12",5.27299955856375,1.31682206278663,1.55463036922805
"CRANE_13",6.20455776256869,3.4667835602893,4.73225914188886
"CRANE_14",6.3297209055227,3.38415604356773,4.61015565032892
"CRANE_15",6.74641212857337,3.78574760290198,5.20401121585093
"CRANE_16",6.91174730025167,3.79527182624074,5.21809804499112
"CRANE_17",6.30991827822652,3.59730366583428,4.92529897644253
"CRANE_18",6.80239476332431,3.7691573381886,5.17949850739312
"CRANE_19",6.63725803128446,3.73968290244599,5.13587909193523
"CRANE_2",6.82001636467413,3.79526112544521,5.21808221794959
"CRANE_20",6.0591231955818,3.35521256879227,4.5672900930227
"CRANE_21",6.70318811324086,3.69711463706713,5.07293725677969
"CRANE_22",6.83733281468559,3.74487858913043,5.14357007907283
"CRANE_23",6.93049476595163,3.79212035141544,5.21343684734543
"CRANE_24",6.82110747225646,3.76162595106219,5.16833401930061
"CRANE_25",6.49677499018586,3.65807824952035,5.0151815020195
"CRANE_26",6.56103066589657,3.77349240156427,5.18588512607096
