"SDOH_VAR","pe","ee1","ee2","ee3"
"H_ADDRESS_LENGTH",2.39789527279837,0.888400019086325,2.00973387529313,2.00973387529313
"H_ANIMAL_WELL",0.693147180559945,0.323787607211912,0,0.323787607211912
"H_ARTS_CULTURE",0.693147180559945,0.0739882597255869,0,0.0739882597255869
"H_ASSESSED_VALUE",9.43220310339067,5.4942886131195,9.1167298594255,9.1167298594255
"H_AUTO_WORK",0.693147180559945,0.34380559738722,0,0.34380559738722
"H_BANK_CARD",0.693147180559945,0.244188401245116,0,0.244188401245116
"H_BIKING",0.693147180559945,0.227411569959673,0,0.227411569959673
"H_BOATING",0.693147180559945,0.326399772589021,0,0.326399772589021
"H_BUSINESS_OWNER",1.94591014905531,0.0537086518548995,0.669990059077464,0.669990059077464
"H_BUY_CIGARS",0.693147180559945,0.203430481820357,0,0.203430481820357
"H_BUY_MO_HEALTH",0.693147180559945,0.253622179326923,0,0.253622179326923
"H_CALORIE_COOKS",0.693147180559945,0.36779550416482,0,0.36779550416482
"H_CAMPING",0.693147180559945,0.364302670353325,0,0.364302670353325
"H_CAREER",0.693147180559945,0.339658335335229,0,0.339658335335229
"H_CAT_OWNER",0.693147180559945,0.366541386826313,0,0.366541386826313
"H_CHARITY",0.693147180559945,0.272544209558237,0,0.272544209558237
"H_CHILD_CAUSES",0.693147180559945,0.344861953722637,0,0.344861953722637
"H_CHOLESTEROL",0.693147180559945,0.262371040587472,0,0.262371040587472
"H_DIABETIC",0.693147180559945,0.270511491511578,0,0.270511491511578
"H_DIETING",0.693147180559945,0.362186690294118,0,0.362186690294118
"H_DOG_OWNER",0.693147180559945,0.349450104285842,0,0.349450104285842
"H_DWELLING_TYPE",1.09861228866811,0.470559227090444,0.463493499750154,0.463493499750154
"H_ENVIRONMENT",0.693147180559945,0.337843091154825,0,0.337843091154825
"H_EXERCISE",0.693147180559945,0.231404145971146,0,0.231404145971146
"H_FISHING",0.693147180559945,0.323596785823781,0,0.323596785823781
"H_FITNESS_TRACK",0.693147180559945,0.262964431341242,0,0.262964431341242
"H_FITNESS_WARRIOR",0.693147180559945,0.357819401216368,0,0.357819401216368
"H_GENERATIONS_IN",1.38629436111989,0.90320873217241,0.899915934247343,0.899915934247343
"H_GREEN_LIVE",0.693147180559945,0.367348060097273,0,0.367348060097273
"H_HEALTH_CAUSE",0.693147180559945,0.365528094255949,0,0.365528094255949
"H_HEALTH_ENTHUS",0.693147180559945,0.308297806040837,0,0.308297806040837
"H_HOMEOPATH",0.693147180559945,0.362219413195871,0,0.362219413195871
"H_HOME_BUILD_YR",5.12989871492307,2.66629960067886,4.49457329072436,4.49457329072436
"H_HOME_EQUITY",8.48239468587354,1.34473803226071,7.20890918642664,7.20890918642664
"H_HOME_EXTERIOR",3.58351893845611,1.06151305657488,1.88358276335993,1.88358276335993
"H_HOME_IMPROVE",0.693147180559945,0.210418273965047,0,0.210418273965047
"H_HOME_LENGTH",2.83321334405622,2.44129038045968,2.44129038045968,2.44129038045968
"H_HOME_LOAN_AMT",2.94443897916644,0.629073453921673,2.34685177593656,2.34685177593656
"H_HOME_ROOF_TYPE",2.77258872223978,0.469683483546677,1.26612854183154,1.26612854183154
"H_HOME_SQFT",2.70805020110221,1.49632342468878,2.2145930954581,2.2145930954581
"H_HOME_TYPE",2.07944154167984,0.745040836339241,0.746670204391362,0.746670204391362
"H_HUNTING",0.693147180559945,0.343890680519576,0,0.343890680519576
"H_INCOME",2.63905732961526,2.45303659715742,2.45303659715742,2.45303659715742
"H_INTERNAT_AID",0.693147180559945,0.120393532013333,0,0.120393532013333
"H_LEFT_CAUSES",0.693147180559945,0.175910918332595,0,0.175910918332595
"H_LIFE_INSURE",0.693147180559945,0.341123253469316,0,0.341123253469316
"H_LOW_FAT",0.693147180559945,0.354911117606509,0,0.354911117606509
"H_MARRITAL_STAT",1.6094379124341,0.882319547963883,0.882319547963883,0.882319547963883
"H_MCYCLE_OWNER",0.693147180559945,0.247998829785199,0,0.247998829785199
"H_MOTORCYCLE",0.693147180559945,0.227990312323817,0,0.227990312323817
"H_NATURAL_FOOD",0.693147180559945,0.348729614156905,0,0.348729614156905
"H_NUM_CHILD",2.30258509299405,0.94946301414661,0.94946301414661,0.94946301414661
"H_NUM_CREDIT_LINE",2.30258509299405,1.43846754968752,1.90117474648422,1.90117474648422
"H_NUM_PEOPLE",2.30258509299405,1.52987948389283,1.52987948389283,1.52987948389283
"H_ONLINE_SPEND",7.3185395485679,0.90890073252729,6.6141132646743,6.6141132646743
"H_ORGANIC",0.693147180559945,0.22659803894296,0,0.22659803894296
"H_OTHER_CAUSES",0.693147180559945,0.241719070553407,0,0.241719070553407
"H_OUTDOORS",0.693147180559945,0.223957825707836,0,0.223957825707836
"H_OWNER_TYPE",0.693147180559945,0.367806277659691,0,0.367806277659691
"H_OWN_RENT",1.09861228866811,0.649242779871104,0.649242779871104,0.649242779871104
"H_POLITICS_CAUSE",0.693147180559945,0.345316285814014,0,0.345316285814014
"H_PREMIUM_CARD",0.693147180559945,0.330250618539164,0,0.330250618539164
"H_PURCHACE_CAT",2.77258872223978,1.52245128944719,2.43082119302972,2.43082119302972
"H_READING",0.693147180559945,0.210468846838591,0,0.210468846838591
"H_RELIGION",0.693147180559945,0.35500306741257,0,0.35500306741257
"H_RELIGION_CAUSE",0.693147180559945,0.335866685557028,0,0.335866685557028
"H_RIGHT_CAUSES",0.693147180559945,0.361884354149653,0,0.361884354149653
"H_RUN_JOG",0.693147180559945,0.248284913902366,0,0.248284913902366
